# B23R075 (Domain-refined Hi-B) - RD
# H (A/m), B (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000
0.100000,0.000088
0.111871,0.000110
0.125151,0.000137
0.140008,0.000171
0.156629,0.000214
0.175222,0.000268
0.196023,0.000335
0.219293,0.000418
0.245326,0.000522
0.274449,0.000652
0.307029,0.000815
0.343477,0.001017
0.384251,0.001270
0.429866,0.001584
0.480896,0.001976
0.537984,0.002464
0.601848,0.003071
0.673295,0.003825
0.753222,0.004761
0.842638,0.005923
0.942668,0.007363
1.054574,0.009144
1.179763,0.011346
1.319814,0.014062
1.476491,0.017407
1.651767,0.021515
1.847850,0.026550
2.067210,0.032699
2.312611,0.040185
2.587143,0.049257
2.894266,0.060196
3.237848,0.073308
3.622216,0.088905
4.052213,0.107289
4.533256,0.128705
5.071404,0.153375
5.673436,0.188853
6.346936,0.240939
7.100388,0.310020
7.943282,0.394251
8.886238,0.504280
9.941133,0.642602
11.121256,0.793764
12.441473,0.948834
13.918414,1.101623
15.570684,1.247357
17.419097,1.383944
19.486937,1.499311
21.800253,1.572197
24.388185,1.631135
27.283334,1.675173
30.522168,1.704705
34.145489,1.734868
38.198937,1.769350
42.733575,1.804544
47.806525,1.831015
53.481691,1.852336
59.830561,1.869645
66.933113,1.882578
74.878817,1.893731
83.767764,1.904539
93.711928,1.915392
104.836574,1.922370
117.281840,1.927214
131.204496,1.931217
146.779927,1.935138
164.204334,1.939826
183.697212,1.944638
205.504110,1.949015
229.899730,1.953615
257.191381,1.958258
287.722854,1.961558
321.878751,1.962208
360.089333,1.962462
402.835935,1.962637
450.657034,1.962788
504.155028,1.963024
564.003828,1.963371
630.957344,1.963785
705.858987,1.964288
789.652287,1.964917
883.392781,1.965773
988.261314,1.966878
1105.578905,1.968127
1236.823397,1.969599
1383.648068,1.971300
1547.902458,1.973213
1731.655667,1.975287
1937.222423,1.977412
2167.192235,1.979525
2424.462017,1.981874
2712.272579,1.984477
3034.249451,1.987313
3394.448553,1.990332
3797.407287,1.993433
4248.201698,1.996440
4752.510411,1.999059
5316.686168,2.001011
5947.835852,2.002835
6653.910011,2.004598
7443.803013,2.006264
8327.465086,2.007801
9316.027658,2.009193
10421.943585,2.010465
11659.144012,2.011812
13043.213867,2.013287
14591.588183,2.014896
16323.771723,2.016643
18261.584683,2.018525
20429.437558,2.020538
22854.638641,2.022665
25567.738022,2.024880
28602.912425,2.027139
31998.395732,2.029371
35796.960610,2.031474
40046.457318,2.033296
44800.416471,2.034620
50118.723363,2.035133
