# B23R075 (Domain-refined Hi-B) - TD
# H (A/m), B (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000
0.100000,0.000201
0.111871,0.000225
0.125151,0.000252
0.140008,0.000283
0.156629,0.000317
0.175222,0.000355
0.196023,0.000397
0.219293,0.000445
0.245326,0.000499
0.274449,0.000559
0.307029,0.000627
0.343477,0.000703
0.384251,0.000789
0.429866,0.000885
0.480896,0.000994
0.537984,0.001116
0.601848,0.001254
0.673295,0.001409
0.753222,0.001585
0.842638,0.001783
0.942668,0.002008
1.054574,0.002263
1.179763,0.002551
1.319814,0.002879
1.476491,0.003253
1.651767,0.003678
1.847850,0.004163
2.067210,0.004719
2.312611,0.005354
2.587143,0.006085
2.894266,0.006924
3.237848,0.007892
3.622216,0.009011
4.052213,0.010306
4.533256,0.011809
5.071404,0.013557
5.673436,0.015594
6.346936,0.017973
7.100388,0.020758
7.943282,0.024024
8.886238,0.027858
9.941133,0.032368
11.121256,0.037677
12.441473,0.043931
13.918414,0.051300
15.570684,0.059980
17.419097,0.070193
19.486937,0.082190
21.800253,0.096243
24.388185,0.112638
27.283334,0.131660
30.522168,0.153657
34.145489,0.183747
38.198937,0.224600
42.733575,0.274502
47.806525,0.328868
53.481691,0.380935
59.830561,0.433773
66.933113,0.490337
74.878817,0.555049
83.767764,0.636649
93.711928,0.741554
104.836574,0.837772
117.281840,0.923709
131.204496,1.006863
146.779927,1.090447
164.204334,1.166308
183.697212,1.232597
205.504110,1.295110
229.899730,1.357029
257.191381,1.413629
287.722854,1.464525
321.878751,1.502039
360.089333,1.532663
402.835935,1.561940
450.657034,1.592971
504.155028,1.621988
564.003828,1.648080
630.957344,1.667893
705.858987,1.682976
789.652287,1.697970
883.392781,1.718265
988.261314,1.738466
1105.578905,1.751189
1236.823397,1.761684
1383.648068,1.771559
1547.902458,1.783934
1731.655667,1.799950
1937.222423,1.816159
2167.192235,1.828758
2424.462017,1.840418
2712.272579,1.851195
3034.249451,1.860944
3394.448553,1.870333
3797.407287,1.879662
4248.201698,1.888612
4752.510411,1.896744
5316.686168,1.903811
5947.835852,1.911092
6653.910011,1.918612
7443.803013,1.926035
8327.465086,1.932806
9316.027658,1.938052
10421.943585,1.940731
11659.144012,1.942813
13043.213867,1.945032
14591.588183,1.947379
16323.771723,1.949841
18261.584683,1.952395
20429.437558,1.955010
22854.638641,1.957644
25567.738022,1.960240
28602.912425,1.962728
31998.395732,1.965023
35796.960610,1.967020
40046.457318,1.968601
44800.416471,1.969638
50118.723363,1.970000
