# B23R075 (Domain-refined Hi-B) - RD and TD
# H (A/m), B_RD (T), B_TD (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000,0.000000
0.100000,0.000088,0.000201
0.111871,0.000110,0.000225
0.125151,0.000137,0.000252
0.140008,0.000171,0.000283
0.156629,0.000214,0.000317
0.175222,0.000268,0.000355
0.196023,0.000335,0.000397
0.219293,0.000418,0.000445
0.245326,0.000522,0.000499
0.274449,0.000652,0.000559
0.307029,0.000815,0.000627
0.343477,0.001017,0.000703
0.384251,0.001270,0.000789
0.429866,0.001584,0.000885
0.480896,0.001976,0.000994
0.537984,0.002464,0.001116
0.601848,0.003071,0.001254
0.673295,0.003825,0.001409
0.753222,0.004761,0.001585
0.842638,0.005923,0.001783
0.942668,0.007363,0.002008
1.054574,0.009144,0.002263
1.179763,0.011346,0.002551
1.319814,0.014062,0.002879
1.476491,0.017407,0.003253
1.651767,0.021515,0.003678
1.847850,0.026550,0.004163
2.067210,0.032699,0.004719
2.312611,0.040185,0.005354
2.587143,0.049257,0.006085
2.894266,0.060196,0.006924
3.237848,0.073308,0.007892
3.622216,0.088905,0.009011
4.052213,0.107289,0.010306
4.533256,0.128705,0.011809
5.071404,0.153375,0.013557
5.673436,0.188853,0.015594
6.346936,0.240939,0.017973
7.100388,0.310020,0.020758
7.943282,0.394251,0.024024
8.886238,0.504280,0.027858
9.941133,0.642602,0.032368
11.121256,0.793764,0.037677
12.441473,0.948834,0.043931
13.918414,1.101623,0.051300
15.570684,1.247357,0.059980
17.419097,1.383944,0.070193
19.486937,1.499311,0.082190
21.800253,1.572197,0.096243
24.388185,1.631135,0.112638
27.283334,1.675173,0.131660
30.522168,1.704705,0.153657
34.145489,1.734868,0.183747
38.198937,1.769350,0.224600
42.733575,1.804544,0.274502
47.806525,1.831015,0.328868
53.481691,1.852336,0.380935
59.830561,1.869645,0.433773
66.933113,1.882578,0.490337
74.878817,1.893731,0.555049
83.767764,1.904539,0.636649
93.711928,1.915392,0.741554
104.836574,1.922370,0.837772
117.281840,1.927214,0.923709
131.204496,1.931217,1.006863
146.779927,1.935138,1.090447
164.204334,1.939826,1.166308
183.697212,1.944638,1.232597
205.504110,1.949015,1.295110
229.899730,1.953615,1.357029
257.191381,1.958258,1.413629
287.722854,1.961558,1.464525
321.878751,1.962208,1.502039
360.089333,1.962462,1.532663
402.835935,1.962637,1.561940
450.657034,1.962788,1.592971
504.155028,1.963024,1.621988
564.003828,1.963371,1.648080
630.957344,1.963785,1.667893
705.858987,1.964288,1.682976
789.652287,1.964917,1.697970
883.392781,1.965773,1.718265
988.261314,1.966878,1.738466
1105.578905,1.968127,1.751189
1236.823397,1.969599,1.761684
1383.648068,1.971300,1.771559
1547.902458,1.973213,1.783934
1731.655667,1.975287,1.799950
1937.222423,1.977412,1.816159
2167.192235,1.979525,1.828758
2424.462017,1.981874,1.840418
2712.272579,1.984477,1.851195
3034.249451,1.987313,1.860944
3394.448553,1.990332,1.870333
3797.407287,1.993433,1.879662
4248.201698,1.996440,1.888612
4752.510411,1.999059,1.896744
5316.686168,2.001011,1.903811
5947.835852,2.002835,1.911092
6653.910011,2.004598,1.918612
7443.803013,2.006264,1.926035
8327.465086,2.007801,1.932806
9316.027658,2.009193,1.938052
10421.943585,2.010465,1.940731
11659.144012,2.011812,1.942813
13043.213867,2.013287,1.945032
14591.588183,2.014896,1.947379
16323.771723,2.016643,1.949841
18261.584683,2.018525,1.952395
20429.437558,2.020538,1.955010
22854.638641,2.022665,1.957644
25567.738022,2.024880,1.960240
28602.912425,2.027139,1.962728
31998.395732,2.029371,1.965023
35796.960610,2.031474,1.967020
40046.457318,2.033296,1.968601
44800.416471,2.034620,1.969638
50118.723363,2.035133,1.970000
