# B27R090 (Hi-B) - RD
# H (A/m), B (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000
0.100000,0.000073
0.111871,0.000091
0.125151,0.000114
0.140008,0.000142
0.156629,0.000178
0.175222,0.000222
0.196023,0.000278
0.219293,0.000347
0.245326,0.000434
0.274449,0.000542
0.307029,0.000677
0.343477,0.000845
0.384251,0.001056
0.429866,0.001317
0.480896,0.001644
0.537984,0.002050
0.601848,0.002556
0.673295,0.003185
0.753222,0.003967
0.842638,0.004938
0.942668,0.006143
1.054574,0.007636
1.179763,0.009482
1.319814,0.011764
1.476491,0.014579
1.651767,0.018044
1.847850,0.022300
2.067210,0.027513
2.312611,0.033878
2.587143,0.041624
2.894266,0.051006
3.237848,0.062314
3.622216,0.075858
4.052213,0.091957
4.533256,0.110912
5.071404,0.133073
5.673436,0.167252
6.346936,0.219708
7.100388,0.289966
7.943282,0.374344
8.886238,0.480195
9.941133,0.612766
11.121256,0.762682
12.441473,0.919971
13.918414,1.078622
15.570684,1.227795
17.419097,1.364050
19.486937,1.479311
21.800253,1.552197
24.388185,1.611135
27.283334,1.655234
30.522168,1.684603
34.145489,1.713735
38.198937,1.741636
42.733575,1.785711
47.806525,1.819484
53.481691,1.842813
59.830561,1.859646
66.933113,1.872578
74.878817,1.883731
83.767764,1.894467
93.711928,1.905026
104.836574,1.912993
117.281840,1.919578
131.204496,1.925471
146.779927,1.930942
164.204334,1.936869
183.697212,1.942767
205.504110,1.945111
229.899730,1.945467
257.191381,1.945692
287.722854,1.945892
321.878751,1.946223
360.089333,1.946625
402.835935,1.947077
450.657034,1.947560
504.155028,1.948033
564.003828,1.948468
630.957344,1.948887
705.858987,1.949338
789.652287,1.949918
883.392781,1.950723
988.261314,1.951852
1105.578905,1.953684
1236.823397,1.956540
1383.648068,1.960394
1547.902458,1.965038
1731.655667,1.969961
1937.222423,1.974159
2167.192235,1.976848
2424.462017,1.979482
2712.272579,1.982146
3034.249451,1.984794
3394.448553,1.987374
3797.407287,1.989832
4248.201698,1.992108
4752.510411,1.994156
5316.686168,1.995990
5947.835852,1.997786
6653.910011,1.999540
7443.803013,2.001214
8327.465086,2.002772
9316.027658,2.004186
10421.943585,2.005465
11659.144012,2.006812
13043.213867,2.008287
14591.588183,2.009896
16323.771723,2.011643
18261.584683,2.013525
20429.437558,2.015538
22854.638641,2.017665
25567.738022,2.019880
28602.912425,2.022139
31998.395732,2.024371
35796.960610,2.026474
40046.457318,2.028296
44800.416471,2.029620
50118.723363,2.030133
