# B27R095 (Conventional GO) - RD
# H (A/m), B (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000
0.100000,0.000055
0.111871,0.000069
0.125151,0.000086
0.140008,0.000108
0.156629,0.000135
0.175222,0.000169
0.196023,0.000211
0.219293,0.000264
0.245326,0.000330
0.274449,0.000412
0.307029,0.000515
0.343477,0.000643
0.384251,0.000803
0.429866,0.001002
0.480896,0.001250
0.537984,0.001560
0.601848,0.001945
0.673295,0.002424
0.753222,0.003020
0.842638,0.003759
0.942668,0.004677
1.054574,0.005815
1.179763,0.007223
1.319814,0.008964
1.476491,0.011112
1.651767,0.013758
1.847850,0.017010
2.067210,0.020996
2.312611,0.025868
2.587143,0.031803
2.894266,0.039000
3.237848,0.047688
3.622216,0.058111
4.052213,0.070528
4.533256,0.085189
5.071404,0.102387
5.673436,0.128863
6.346936,0.169797
7.100388,0.225699
7.943282,0.295215
8.886238,0.388445
9.941133,0.512973
11.121256,0.666744
12.441473,0.831683
13.918414,0.995166
15.570684,1.149617
17.419097,1.291630
19.486937,1.417769
21.800253,1.491683
24.388185,1.554699
27.283334,1.613052
30.522168,1.654368
34.145489,1.676406
38.198937,1.688627
42.733575,1.705159
47.806525,1.760192
53.481691,1.801834
59.830561,1.829486
66.933113,1.847873
74.878817,1.862623
83.767764,1.874820
93.711928,1.885320
104.836574,1.892896
117.281840,1.899736
131.204496,1.905798
146.779927,1.909675
164.204334,1.910821
183.697212,1.911503
205.504110,1.912190
229.899730,1.912983
257.191381,1.913801
287.722854,1.914661
321.878751,1.915601
360.089333,1.916637
402.835935,1.917754
450.657034,1.918922
504.155028,1.920083
564.003828,1.921083
630.957344,1.921952
705.858987,1.922980
789.652287,1.924715
883.392781,1.930722
988.261314,1.939493
1105.578905,1.943557
1236.823397,1.947292
1383.648068,1.950709
1547.902458,1.953777
1731.655667,1.956547
1937.222423,1.959211
2167.192235,1.962071
2424.462017,1.965098
2712.272579,1.968256
3034.249451,1.971506
3394.448553,1.974790
3797.407287,1.978028
4248.201698,1.981110
4752.510411,1.983891
5316.686168,1.986279
5947.835852,1.988629
6653.910011,1.990956
7443.803013,1.993194
8327.465086,1.995262
9316.027658,1.997059
10421.943585,1.998505
11659.144012,1.999959
13043.213867,2.001538
14591.588183,2.003244
16323.771723,2.005076
18261.584683,2.007028
20429.437558,2.009089
22854.638641,2.011237
25567.738022,2.013442
28602.912425,2.015653
31998.395732,2.017801
35796.960610,2.019788
40046.457318,2.021476
44800.416471,2.022676
50118.723363,2.023133
