# B27R095 (Conventional GO) - TD
# H (A/m), B (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000
0.100000,0.000085
0.111871,0.000095
0.125151,0.000106
0.140008,0.000119
0.156629,0.000133
0.175222,0.000150
0.196023,0.000168
0.219293,0.000188
0.245326,0.000212
0.274449,0.000238
0.307029,0.000267
0.343477,0.000300
0.384251,0.000338
0.429866,0.000380
0.480896,0.000428
0.537984,0.000483
0.601848,0.000545
0.673295,0.000615
0.753222,0.000695
0.842638,0.000787
0.942668,0.000891
1.054574,0.001011
1.179763,0.001148
1.319814,0.001306
1.476491,0.001488
1.651767,0.001698
1.847850,0.001942
2.067210,0.002224
2.312611,0.002553
2.587143,0.002937
2.894266,0.003387
3.237848,0.003914
3.622216,0.004534
4.052213,0.005264
4.533256,0.006128
5.071404,0.007151
5.673436,0.008364
6.346936,0.009807
7.100388,0.011525
7.943282,0.013573
8.886238,0.016017
9.941133,0.018935
11.121256,0.022419
12.441473,0.026578
13.918414,0.031538
15.570684,0.037442
17.419097,0.044452
19.486937,0.052748
21.800253,0.062519
24.388185,0.073955
27.283334,0.087232
30.522168,0.102547
34.145489,0.123841
38.198937,0.153452
42.733575,0.190631
47.806525,0.232823
53.481691,0.276059
59.830561,0.322609
66.933113,0.374996
74.878817,0.436835
83.767764,0.515681
93.711928,0.621025
104.836574,0.717772
117.281840,0.803709
131.204496,0.886847
146.779927,0.969060
164.204334,1.047985
183.697212,1.125662
205.504110,1.195796
229.899730,1.256885
257.191381,1.314790
287.722854,1.372356
321.878751,1.414734
360.089333,1.449015
402.835935,1.482229
450.657034,1.518016
504.155028,1.552421
564.003828,1.584962
630.957344,1.609978
705.858987,1.629453
789.652287,1.647720
883.392781,1.668895
988.261314,1.688481
1105.578905,1.701032
1236.823397,1.711160
1383.648068,1.720950
1547.902458,1.734483
1731.655667,1.754197
1937.222423,1.775123
2167.192235,1.791055
2424.462017,1.806001
2712.272579,1.819667
3034.249451,1.831019
3394.448553,1.840806
3797.407287,1.849978
4248.201698,1.858485
4752.510411,1.866459
5316.686168,1.874423
5947.835852,1.883089
6653.910011,1.892318
7443.803013,1.901690
8327.465086,1.910462
9316.027658,1.917404
10421.943585,1.920967
11659.144012,1.923719
13043.213867,1.926654
14591.588183,1.929763
16323.771723,1.933027
18261.584683,1.936417
20429.437558,1.939893
22854.638641,1.943400
25567.738022,1.946864
28602.912425,1.950192
31998.395732,1.953269
35796.960610,1.955958
40046.457318,1.958096
44800.416471,1.959505
50118.723363,1.960000
