# B27R095 (Conventional GO) - RD and TD
# H (A/m), B_RD (T), B_TD (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000,0.000000
0.100000,0.000055,0.000085
0.111871,0.000069,0.000095
0.125151,0.000086,0.000106
0.140008,0.000108,0.000119
0.156629,0.000135,0.000133
0.175222,0.000169,0.000150
0.196023,0.000211,0.000168
0.219293,0.000264,0.000188
0.245326,0.000330,0.000212
0.274449,0.000412,0.000238
0.307029,0.000515,0.000267
0.343477,0.000643,0.000300
0.384251,0.000803,0.000338
0.429866,0.001002,0.000380
0.480896,0.001250,0.000428
0.537984,0.001560,0.000483
0.601848,0.001945,0.000545
0.673295,0.002424,0.000615
0.753222,0.003020,0.000695
0.842638,0.003759,0.000787
0.942668,0.004677,0.000891
1.054574,0.005815,0.001011
1.179763,0.007223,0.001148
1.319814,0.008964,0.001306
1.476491,0.011112,0.001488
1.651767,0.013758,0.001698
1.847850,0.017010,0.001942
2.067210,0.020996,0.002224
2.312611,0.025868,0.002553
2.587143,0.031803,0.002937
2.894266,0.039000,0.003387
3.237848,0.047688,0.003914
3.622216,0.058111,0.004534
4.052213,0.070528,0.005264
4.533256,0.085189,0.006128
5.071404,0.102387,0.007151
5.673436,0.128863,0.008364
6.346936,0.169797,0.009807
7.100388,0.225699,0.011525
7.943282,0.295215,0.013573
8.886238,0.388445,0.016017
9.941133,0.512973,0.018935
11.121256,0.666744,0.022419
12.441473,0.831683,0.026578
13.918414,0.995166,0.031538
15.570684,1.149617,0.037442
17.419097,1.291630,0.044452
19.486937,1.417769,0.052748
21.800253,1.491683,0.062519
24.388185,1.554699,0.073955
27.283334,1.613052,0.087232
30.522168,1.654368,0.102547
34.145489,1.676406,0.123841
38.198937,1.688627,0.153452
42.733575,1.705159,0.190631
47.806525,1.760192,0.232823
53.481691,1.801834,0.276059
59.830561,1.829486,0.322609
66.933113,1.847873,0.374996
74.878817,1.862623,0.436835
83.767764,1.874820,0.515681
93.711928,1.885320,0.621025
104.836574,1.892896,0.717772
117.281840,1.899736,0.803709
131.204496,1.905798,0.886847
146.779927,1.909675,0.969060
164.204334,1.910821,1.047985
183.697212,1.911503,1.125662
205.504110,1.912190,1.195796
229.899730,1.912983,1.256885
257.191381,1.913801,1.314790
287.722854,1.914661,1.372356
321.878751,1.915601,1.414734
360.089333,1.916637,1.449015
402.835935,1.917754,1.482229
450.657034,1.918922,1.518016
504.155028,1.920083,1.552421
564.003828,1.921083,1.584962
630.957344,1.921952,1.609978
705.858987,1.922980,1.629453
789.652287,1.924715,1.647720
883.392781,1.930722,1.668895
988.261314,1.939493,1.688481
1105.578905,1.943557,1.701032
1236.823397,1.947292,1.711160
1383.648068,1.950709,1.720950
1547.902458,1.953777,1.734483
1731.655667,1.956547,1.754197
1937.222423,1.959211,1.775123
2167.192235,1.962071,1.791055
2424.462017,1.965098,1.806001
2712.272579,1.968256,1.819667
3034.249451,1.971506,1.831019
3394.448553,1.974790,1.840806
3797.407287,1.978028,1.849978
4248.201698,1.981110,1.858485
4752.510411,1.983891,1.866459
5316.686168,1.986279,1.874423
5947.835852,1.988629,1.883089
6653.910011,1.990956,1.892318
7443.803013,1.993194,1.901690
8327.465086,1.995262,1.910462
9316.027658,1.997059,1.917404
10421.943585,1.998505,1.920967
11659.144012,1.999959,1.923719
13043.213867,2.001538,1.926654
14591.588183,2.003244,1.929763
16323.771723,2.005076,1.933027
18261.584683,2.007028,1.936417
20429.437558,2.009089,1.939893
22854.638641,2.011237,1.943400
25567.738022,2.013442,1.946864
28602.912425,2.015653,1.950192
31998.395732,2.017801,1.953269
35796.960610,2.019788,1.955958
40046.457318,2.021476,1.958096
44800.416471,2.022676,1.959505
50118.723363,2.023133,1.960000
