# B30P105 (Conventional GO) - RD
# H (A/m), B (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000
0.100000,0.000043
0.111871,0.000054
0.125151,0.000068
0.140008,0.000085
0.156629,0.000106
0.175222,0.000133
0.196023,0.000166
0.219293,0.000207
0.245326,0.000259
0.274449,0.000324
0.307029,0.000405
0.343477,0.000506
0.384251,0.000631
0.429866,0.000788
0.480896,0.000984
0.537984,0.001227
0.601848,0.001530
0.673295,0.001908
0.753222,0.002377
0.842638,0.002960
0.942668,0.003684
1.054574,0.004581
1.179763,0.005693
1.319814,0.007068
1.476491,0.008766
1.651767,0.010859
1.847850,0.013434
2.067210,0.016595
2.312611,0.020463
2.587143,0.025182
2.894266,0.030916
3.237848,0.037852
3.622216,0.046198
4.052213,0.056172
4.533256,0.067996
5.071404,0.081951
5.673436,0.104375
6.346936,0.139774
7.100388,0.187860
7.943282,0.246085
8.886238,0.318122
9.941133,0.414262
11.121256,0.547288
12.441473,0.697280
13.918414,0.849547
15.570684,0.998411
17.419097,1.140119
19.486937,1.274505
21.800253,1.364590
24.388185,1.440043
27.283334,1.505259
30.522168,1.558103
34.145489,1.609604
38.198937,1.653500
42.733575,1.693142
47.806525,1.727302
53.481691,1.761774
59.830561,1.789449
66.933113,1.810462
74.878817,1.829677
83.767764,1.847050
93.711928,1.863475
104.836574,1.873226
117.281840,1.880462
131.204496,1.886403
146.779927,1.889788
164.204334,1.890416
183.697212,1.890739
205.504110,1.891111
229.899730,1.891614
257.191381,1.892180
287.722854,1.892779
321.878751,1.893372
360.089333,1.893983
402.835935,1.894622
450.657034,1.895305
504.155028,1.896058
564.003828,1.896751
630.957344,1.897375
705.858987,1.898203
789.652287,1.899741
883.392781,1.911171
988.261314,1.929277
1105.578905,1.934087
1236.823397,1.938158
1383.648068,1.941624
1547.902458,1.944480
1731.655667,1.946878
1937.222423,1.949234
2167.192235,1.952067
2424.462017,1.955075
2712.272579,1.958198
3034.249451,1.961402
3394.448553,1.964635
3797.407287,1.967835
4248.201698,1.970922
4752.510411,1.973798
5316.686168,1.976425
5947.835852,1.979089
6653.910011,1.981781
7443.803013,1.984416
8327.465086,1.986871
9316.027658,1.988968
10421.943585,1.990525
11659.144012,1.992033
13043.213867,1.993664
14591.588183,1.995419
16323.771723,1.997293
18261.584683,1.999281
20429.437558,2.001366
22854.638641,2.003525
25567.738022,2.005724
28602.912425,2.007911
31998.395732,2.010018
35796.960610,2.011946
40046.457318,2.013566
44800.416471,2.014705
50118.723363,2.015133
