# B30P105 (Conventional GO) - TD
# H (A/m), B (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000
0.100000,0.000068
0.111871,0.000076
0.125151,0.000085
0.140008,0.000095
0.156629,0.000107
0.175222,0.000120
0.196023,0.000134
0.219293,0.000151
0.245326,0.000169
0.274449,0.000190
0.307029,0.000214
0.343477,0.000240
0.384251,0.000270
0.429866,0.000304
0.480896,0.000343
0.537984,0.000386
0.601848,0.000436
0.673295,0.000492
0.753222,0.000556
0.842638,0.000629
0.942668,0.000713
1.054574,0.000809
1.179763,0.000918
1.319814,0.001045
1.476491,0.001190
1.651767,0.001358
1.847850,0.001553
2.067210,0.001779
2.312611,0.002043
2.587143,0.002350
2.894266,0.002709
3.237848,0.003131
3.622216,0.003627
4.052213,0.004211
4.533256,0.004902
5.071404,0.005720
5.673436,0.006691
6.346936,0.007846
7.100388,0.009220
7.943282,0.010858
8.886238,0.012814
9.941133,0.015148
11.121256,0.017935
12.441473,0.021263
13.918414,0.025230
15.570684,0.029953
17.419097,0.035562
19.486937,0.042198
21.800253,0.050015
24.388185,0.059164
27.283334,0.069785
30.522168,0.082031
34.145489,0.098735
38.198937,0.121780
42.733575,0.151047
47.806525,0.185398
53.481691,0.223131
59.830561,0.266898
66.933113,0.318334
74.878817,0.379051
83.767764,0.452496
93.711928,0.545972
104.836574,0.636507
117.281840,0.722554
131.204496,0.806847
146.779927,0.889060
164.204334,0.967929
183.697212,1.044856
205.504110,1.116708
229.899730,1.183513
257.191381,1.245088
287.722854,1.301945
321.878751,1.346672
360.089333,1.384829
402.835935,1.422521
450.657034,1.463960
504.155028,1.502543
564.003828,1.535227
630.957344,1.559978
705.858987,1.579453
789.652287,1.597720
883.392781,1.618210
988.261314,1.638129
1105.578905,1.655197
1236.823397,1.671396
1383.648068,1.687524
1547.902458,1.705241
1731.655667,1.725089
1937.222423,1.744882
2167.192235,1.762677
2424.462017,1.780806
2712.272579,1.797869
3034.249451,1.811078
3394.448553,1.821254
3797.407287,1.830487
4248.201698,1.838796
4752.510411,1.846506
5316.686168,1.854414
5947.835852,1.863019
6653.910011,1.872144
7443.803013,1.881400
8327.465086,1.890109
9316.027658,1.897161
10421.943585,1.901166
11659.144012,1.904494
13043.213867,1.908055
14591.588183,1.911840
16323.771723,1.915831
18261.584683,1.919996
20429.437558,1.924290
22854.638641,1.928651
25567.738022,1.932992
28602.912425,1.937202
31998.395732,1.941136
35796.960610,1.944618
40046.457318,1.947431
44800.416471,1.949322
50118.723363,1.950000
