# B30P105 (Conventional GO) - RD and TD
# H (A/m), B_RD (T), B_TD (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000,0.000000
0.100000,0.000043,0.000068
0.111871,0.000054,0.000076
0.125151,0.000068,0.000085
0.140008,0.000085,0.000095
0.156629,0.000106,0.000107
0.175222,0.000133,0.000120
0.196023,0.000166,0.000134
0.219293,0.000207,0.000151
0.245326,0.000259,0.000169
0.274449,0.000324,0.000190
0.307029,0.000405,0.000214
0.343477,0.000506,0.000240
0.384251,0.000631,0.000270
0.429866,0.000788,0.000304
0.480896,0.000984,0.000343
0.537984,0.001227,0.000386
0.601848,0.001530,0.000436
0.673295,0.001908,0.000492
0.753222,0.002377,0.000556
0.842638,0.002960,0.000629
0.942668,0.003684,0.000713
1.054574,0.004581,0.000809
1.179763,0.005693,0.000918
1.319814,0.007068,0.001045
1.476491,0.008766,0.001190
1.651767,0.010859,0.001358
1.847850,0.013434,0.001553
2.067210,0.016595,0.001779
2.312611,0.020463,0.002043
2.587143,0.025182,0.002350
2.894266,0.030916,0.002709
3.237848,0.037852,0.003131
3.622216,0.046198,0.003627
4.052213,0.056172,0.004211
4.533256,0.067996,0.004902
5.071404,0.081951,0.005720
5.673436,0.104375,0.006691
6.346936,0.139774,0.007846
7.100388,0.187860,0.009220
7.943282,0.246085,0.010858
8.886238,0.318122,0.012814
9.941133,0.414262,0.015148
11.121256,0.547288,0.017935
12.441473,0.697280,0.021263
13.918414,0.849547,0.025230
15.570684,0.998411,0.029953
17.419097,1.140119,0.035562
19.486937,1.274505,0.042198
21.800253,1.364590,0.050015
24.388185,1.440043,0.059164
27.283334,1.505259,0.069785
30.522168,1.558103,0.082031
34.145489,1.609604,0.098735
38.198937,1.653500,0.121780
42.733575,1.693142,0.151047
47.806525,1.727302,0.185398
53.481691,1.761774,0.223131
59.830561,1.789449,0.266898
66.933113,1.810462,0.318334
74.878817,1.829677,0.379051
83.767764,1.847050,0.452496
93.711928,1.863475,0.545972
104.836574,1.873226,0.636507
117.281840,1.880462,0.722554
131.204496,1.886403,0.806847
146.779927,1.889788,0.889060
164.204334,1.890416,0.967929
183.697212,1.890739,1.044856
205.504110,1.891111,1.116708
229.899730,1.891614,1.183513
257.191381,1.892180,1.245088
287.722854,1.892779,1.301945
321.878751,1.893372,1.346672
360.089333,1.893983,1.384829
402.835935,1.894622,1.422521
450.657034,1.895305,1.463960
504.155028,1.896058,1.502543
564.003828,1.896751,1.535227
630.957344,1.897375,1.559978
705.858987,1.898203,1.579453
789.652287,1.899741,1.597720
883.392781,1.911171,1.618210
988.261314,1.929277,1.638129
1105.578905,1.934087,1.655197
1236.823397,1.938158,1.671396
1383.648068,1.941624,1.687524
1547.902458,1.944480,1.705241
1731.655667,1.946878,1.725089
1937.222423,1.949234,1.744882
2167.192235,1.952067,1.762677
2424.462017,1.955075,1.780806
2712.272579,1.958198,1.797869
3034.249451,1.961402,1.811078
3394.448553,1.964635,1.821254
3797.407287,1.967835,1.830487
4248.201698,1.970922,1.838796
4752.510411,1.973798,1.846506
5316.686168,1.976425,1.854414
5947.835852,1.979089,1.863019
6653.910011,1.981781,1.872144
7443.803013,1.984416,1.881400
8327.465086,1.986871,1.890109
9316.027658,1.988968,1.897161
10421.943585,1.990525,1.901166
11659.144012,1.992033,1.904494
13043.213867,1.993664,1.908055
14591.588183,1.995419,1.911840
16323.771723,1.997293,1.915831
18261.584683,1.999281,1.919996
20429.437558,2.001366,1.924290
22854.638641,2.003525,1.928651
25567.738022,2.005724,1.932992
28602.912425,2.007911,1.937202
31998.395732,2.010018,1.941136
35796.960610,2.011946,1.944618
40046.457318,2.013566,1.947431
44800.416471,2.014705,1.949322
50118.723363,2.015133,1.950000
